lat,lng,comment
39.633,-78.772,
39.633,-78.772,
39.634,-78.772,
39.634,-78.772,
39.635,-78.771,
39.636,-78.771,
39.636,-78.77,
39.636,-78.77,
39.637,-78.77,
39.638,-78.769,
39.639,-78.768,
39.639,-78.768,
39.639,-78.768,
39.64,-78.768,
39.641,-78.767,
39.642,-78.766,
39.644,-78.765,
39.644,-78.765,
39.644,-78.765,
39.644,-78.764,
39.645,-78.764,
39.645,-78.764,
39.646,-78.764,
39.649,-78.765,
39.649,-78.766,
39.649,-78.766,
39.649,-78.767,
39.649,-78.767,
39.648,-78.768,
39.648,-78.768,
39.648,-78.768,
39.647,-78.769,
39.647,-78.769,
39.647,-78.77,
39.647,-78.771,
39.647,-78.771,
39.647,-78.772,
39.647,-78.772,
39.647,-78.773,
39.647,-78.773,
39.647,-78.774,
39.646,-78.775,
39.646,-78.775,
39.646,-78.775,
39.646,-78.775,
39.646,-78.776,
39.646,-78.776,
39.646,-78.776,
39.646,-78.777,
39.645,-78.777,
39.645,-78.777,
39.644,-78.778,
39.644,-78.778,
39.643,-78.778,
39.643,-78.778,
39.643,-78.778,
39.643,-78.778,
39.642,-78.778,
39.642,-78.779,
39.642,-78.779,
39.641,-78.779,
39.641,-78.779,
39.64,-78.78,
39.639,-78.78,
39.639,-78.78,
39.638,-78.781,
39.638,-78.781,
39.638,-78.781,
39.637,-78.782,
39.637,-78.782,
39.637,-78.782,
39.637,-78.783,
39.638,-78.784,
39.638,-78.785,
39.638,-78.786,
39.638,-78.788,
39.639,-78.79,
39.639,-78.791,
39.639,-78.791,
39.639,-78.791,
39.639,-78.792,
39.638,-78.792,
39.638,-78.793,
39.638,-78.793,
39.638,-78.794,
39.638,-78.794,
39.638,-78.794,
39.638,-78.794,
39.638,-78.795,
39.638,-78.795,
39.638,-78.795,
39.638,-78.796,
39.638,-78.796,
39.637,-78.796,
39.637,-78.796,
39.636,-78.797,
39.636,-78.797,
39.636,-78.797,
39.635,-78.797,
39.634,-78.797,
39.634,-78.797,
39.634,-78.797,
39.633,-78.797,
39.633,-78.797,
39.632,-78.797,
39.632,-78.797,
39.631,-78.797,
39.63,-78.798,
39.63,-78.798,
39.629,-78.798,
39.629,-78.798,
39.629,-78.798,
39.629,-78.799,
39.629,-78.799,
39.629,-78.8,
39.629,-78.8,
39.629,-78.801,
39.629,-78.801,
39.629,-78.801,
39.629,-78.802,
39.628,-78.802,
39.628,-78.802,
39.627,-78.802,
39.626,-78.802,
39.626,-78.802,
39.625,-78.801,
39.624,-78.801,
39.624,-78.801,
39.623,-78.8,
39.622,-78.8,
39.622,-78.8,
39.621,-78.799,
39.621,-78.799,
39.62,-78.799,
39.619,-78.798,
39.619,-78.798,
39.618,-78.798,
39.618,-78.798,
39.618,-78.798,
39.617,-78.798,
39.617,-78.798,
39.617,-78.798,
39.616,-78.798,
39.616,-78.797,
39.616,-78.797,
39.615,-78.797,
39.615,-78.797,
39.615,-78.797,
39.614,-78.797,
39.614,-78.796,
39.614,-78.796,
39.614,-78.796,
39.613,-78.796,
39.613,-78.796,
39.613,-78.796,
39.613,-78.796,
39.612,-78.796,
39.611,-78.796,
39.611,-78.796,
39.61,-78.796,
39.609,-78.796,
39.609,-78.796,
39.608,-78.796,
39.608,-78.796,
39.607,-78.796,
39.606,-78.796,
39.606,-78.797,
39.606,-78.797,
39.605,-78.798,
39.605,-78.798,
39.605,-78.798,
39.605,-78.799,
39.606,-78.799,
39.606,-78.799,
39.606,-78.8,
39.606,-78.8,
39.606,-78.801,
39.606,-78.801,
39.607,-78.801,
39.607,-78.801,
39.607,-78.801,
39.607,-78.801,
39.607,-78.801,
39.607,-78.801,
39.607,-78.802,
39.608,-78.803,
39.608,-78.804,
39.608,-78.804,
39.608,-78.805,
39.608,-78.806,
39.608,-78.806,
39.608,-78.807,
39.609,-78.808,
39.609,-78.809,
39.609,-78.809,
39.609,-78.809,
39.608,-78.81,
39.608,-78.81,
39.608,-78.81,
39.607,-78.81,
39.607,-78.81,
39.607,-78.81,
39.606,-78.81,
39.606,-78.81,
39.605,-78.811,
39.605,-78.811,
39.604,-78.811,
39.604,-78.811,
39.603,-78.812,
39.602,-78.812,
39.602,-78.812,
39.601,-78.812,
39.601,-78.813,
39.6,-78.813,
39.6,-78.813,
39.599,-78.812,
39.599,-78.812,
39.599,-78.812,
39.599,-78.812,
39.598,-78.812,
39.595,-78.818,
39.594,-78.819,
39.594,-78.82,
39.59,-78.826,
39.59,-78.826,
39.59,-78.826,
39.589,-78.826,
39.589,-78.826,
39.588,-78.826,
39.588,-78.827,
39.588,-78.827,
39.587,-78.827,
39.587,-78.827,
39.587,-78.827,
39.586,-78.827,
39.586,-78.827,
39.586,-78.827,
39.585,-78.827,
39.585,-78.827,
39.584,-78.827,
39.584,-78.827,
39.584,-78.827,
39.584,-78.827,
39.583,-78.827,
39.583,-78.827,
39.583,-78.827,
39.582,-78.827,
39.581,-78.827,
39.58,-78.826,
39.58,-78.826,
39.58,-78.826,
39.579,-78.826,
39.578,-78.827,
39.577,-78.827,
39.577,-78.826,
39.577,-78.826,
39.577,-78.826,
39.576,-78.825,
39.568,-78.815,
39.566,-78.814,
39.566,-78.815,
39.565,-78.815,
39.564,-78.816,
39.563,-78.816,
39.563,-78.816,
39.563,-78.817,
39.562,-78.817,
39.562,-78.817,
39.562,-78.817,
39.562,-78.818,
39.562,-78.818,
39.562,-78.819,
39.562,-78.819,
39.562,-78.82,
39.562,-78.821,
39.562,-78.821,
39.562,-78.821,
39.562,-78.822,
39.562,-78.822,
39.562,-78.823,
39.562,-78.823,
39.562,-78.823,
39.562,-78.824,
39.562,-78.824,
39.562,-78.824,
39.562,-78.824,
39.562,-78.825,
39.563,-78.826,
39.563,-78.826,
39.564,-78.827,
39.564,-78.827,
39.564,-78.827,
39.564,-78.827,
39.565,-78.827,
39.565,-78.828,
39.565,-78.829,
39.565,-78.829,
39.566,-78.83,
39.566,-78.831,
39.566,-78.832,
39.566,-78.833,
39.566,-78.833,
39.567,-78.835,
39.567,-78.836,
39.567,-78.837,
39.568,-78.838,
39.568,-78.838,
39.568,-78.839,
39.567,-78.839,
39.567,-78.84,
39.567,-78.84,
39.567,-78.84,
39.566,-78.841,
39.566,-78.841,
39.565,-78.842,
39.565,-78.842,
39.565,-78.842,
39.564,-78.842,
39.564,-78.842,
39.564,-78.843,
39.564,-78.843,
39.564,-78.844,
39.563,-78.844,
39.563,-78.845,
39.563,-78.846,
39.563,-78.846,
39.563,-78.847,
39.563,-78.848,
39.563,-78.848,
39.562,-78.849,
39.562,-78.849,
39.562,-78.85,
39.562,-78.85,
39.561,-78.85,
39.561,-78.851,
39.56,-78.851,
39.56,-78.851,
39.56,-78.851,
39.56,-78.851,
39.559,-78.851,
39.558,-78.851,
39.557,-78.851,
39.557,-78.851,
39.556,-78.851,
39.556,-78.851,
39.555,-78.851,
39.555,-78.852,
39.554,-78.852,
39.554,-78.852,
